time,activity,city,end
2012-01-22T03:00:00,Cloudy,San Francisco,2012-01-22T04:00:00
2012-01-22T06:00:00,Overcast,San Francisco,2012-01-22T07:00:00
2012-01-22T09:00:00,Light rain,San Francisco,2012-01-22T10:00:00
2012-01-22T12:00:00,Light drizzle,San Francisco,2012-01-22T13:00:00
2012-01-22T15:00:00,Light rain,San Francisco,2012-01-22T16:00:00
2012-01-22T18:00:00,Light drizzle,San Francisco,2012-01-22T19:00:00
2012-01-22T21:00:00,Light rain,San Francisco,2012-01-22T22:00:00
2012-01-23T00:00:00,Light drizzle,San Francisco,2012-01-23T01:00:00
2012-01-23T03:00:00,Light rain shower,San Francisco,2012-01-23T04:00:00
2012-01-23T06:00:00,Moderate or heavy rain shower,San Francisco,2012-01-23T07:00:00
2012-01-23T09:00:00,Light rain shower,San Francisco,2012-01-23T10:00:00
2012-01-23T12:00:00,Overcast,San Francisco,2012-01-23T13:00:00
2012-01-23T15:00:00,Partly cloudy,San Francisco,2012-01-23T16:00:00
2012-01-23T18:00:00,Clear,San Francisco,2012-01-23T19:00:00
2012-01-23T21:00:00,Clear,San Francisco,2012-01-23T22:00:00
2012-01-24T00:00:00,Partly cloudy,San Francisco,2012-01-24T01:00:00
2012-01-24T03:00:00,Partly cloudy,San Francisco,2012-01-24T04:00:00
2012-01-24T06:00:00,Partly cloudy,San Francisco,2012-01-24T07:00:00
2012-01-24T09:00:00,Sunny,San Francisco,2012-01-24T10:00:00
2012-01-24T12:00:00,Partly cloudy,San Francisco,2012-01-24T13:00:00
2012-01-24T15:00:00,Sunny,San Francisco,2012-01-24T16:00:00
2012-01-24T18:00:00,Clear,San Francisco,2012-01-24T19:00:00
2012-01-24T21:00:00,Clear,San Francisco,2012-01-24T22:00:00
2012-01-25T00:00:00,Clear,San Francisco,2012-01-25T01:00:00
2012-01-25T03:00:00,Clear,San Francisco,2012-01-25T04:00:00
2012-01-25T06:00:00,Clear,San Francisco,2012-01-25T07:00:00
2012-01-25T09:00:00,Sunny,San Francisco,2012-01-25T10:00:00
2012-01-25T12:00:00,Partly cloudy,San Francisco,2012-01-25T13:00:00
2012-01-25T15:00:00,Partly cloudy,San Francisco,2012-01-25T16:00:00
2012-01-25T18:00:00,Clear,San Francisco,2012-01-25T19:00:00
2012-01-25T21:00:00,Clear,San Francisco,2012-01-25T22:00:00
2012-01-26T00:00:00,Fog,San Francisco,2012-01-26T01:00:00
2012-01-26T03:00:00,Fog,San Francisco,2012-01-26T04:00:00
2012-01-26T06:00:00,Light drizzle,San Francisco,2012-01-26T07:00:00
2012-01-26T09:00:00,Mist,San Francisco,2012-01-26T10:00:00
2012-01-26T12:00:00,Fog,San Francisco,2012-01-26T13:00:00
2012-01-26T15:00:00,Mist,San Francisco,2012-01-26T16:00:00
2012-01-26T18:00:00,Cloudy,San Francisco,2012-01-26T19:00:00
2012-01-26T21:00:00,Partly cloudy,San Francisco,2012-01-26T22:00:00
2012-01-27T00:00:00,Fog,San Francisco,2012-01-27T01:00:00
2012-01-27T03:00:00,Mist,San Francisco,2012-01-27T04:00:00
2012-01-27T06:00:00,Mist,San Francisco,2012-01-27T07:00:00
2012-01-27T09:00:00,Sunny,San Francisco,2012-01-27T10:00:00
2012-01-27T12:00:00,Sunny,San Francisco,2012-01-27T13:00:00
2012-01-27T15:00:00,Sunny,San Francisco,2012-01-27T16:00:00
2012-01-27T18:00:00,Clear,San Francisco,2012-01-27T19:00:00
2012-01-27T21:00:00,Clear,San Francisco,2012-01-27T22:00:00
2012-01-28T00:00:00,Clear,San Francisco,2012-01-28T01:00:00
2012-01-28T03:00:00,Clear,San Francisco,2012-01-28T04:00:00
2012-01-28T06:00:00,Clear,San Francisco,2012-01-28T07:00:00
2012-01-28T09:00:00,Sunny,San Francisco,2012-01-28T10:00:00
2012-01-28T12:00:00,Sunny,San Francisco,2012-01-28T13:00:00
2012-01-28T15:00:00,Sunny,San Francisco,2012-01-28T16:00:00
2012-01-28T18:00:00,Clear,San Francisco,2012-01-28T19:00:00
2012-01-28T21:00:00,Clear,San Francisco,2012-01-28T22:00:00
2012-01-29T00:00:00,Clear,San Francisco,2012-01-29T01:00:00
2012-01-29T03:00:00,Clear,San Francisco,2012-01-29T04:00:00
2012-01-29T06:00:00,Clear,San Francisco,2012-01-29T07:00:00
2012-01-29T09:00:00,Sunny,San Francisco,2012-01-29T10:00:00
2012-01-29T12:00:00,Sunny,San Francisco,2012-01-29T13:00:00
2012-01-29T15:00:00,Sunny,San Francisco,2012-01-29T16:00:00
2012-01-29T18:00:00,Clear,San Francisco,2012-01-29T19:00:00
2012-01-29T21:00:00,Clear,San Francisco,2012-01-29T22:00:00
2012-01-30T00:00:00,Clear,San Francisco,2012-01-30T01:00:00
2012-01-30T03:00:00,Partly cloudy,San Francisco,2012-01-30T04:00:00
2012-01-30T06:00:00,Clear,San Francisco,2012-01-30T07:00:00
2012-01-30T09:00:00,Partly cloudy,San Francisco,2012-01-30T10:00:00
2012-01-30T12:00:00,Partly cloudy,San Francisco,2012-01-30T13:00:00
2012-01-30T15:00:00,Sunny,San Francisco,2012-01-30T16:00:00
2012-01-30T18:00:00,Partly cloudy,San Francisco,2012-01-30T19:00:00
2012-01-30T21:00:00,Overcast,San Francisco,2012-01-30T22:00:00
2012-01-31T00:00:00,Fog,San Francisco,2012-01-31T01:00:00
2012-01-31T03:00:00,Overcast,San Francisco,2012-01-31T04:00:00
2012-01-31T06:00:00,Overcast,San Francisco,2012-01-31T07:00:00
2012-01-31T09:00:00,Sunny,San Francisco,2012-01-31T10:00:00
2012-01-31T12:00:00,Overcast,San Francisco,2012-01-31T13:00:00
2012-01-31T15:00:00,Cloudy,San Francisco,2012-01-31T16:00:00
2012-01-31T18:00:00,Partly cloudy,San Francisco,2012-01-31T19:00:00
2012-01-31T21:00:00,Partly cloudy,San Francisco,2012-01-31T22:00:00
2012-02-01T00:00:00,Cloudy,San Francisco,2012-02-01T01:00:00
2012-02-01T03:00:00,Partly cloudy,San Francisco,2012-02-01T04:00:00
2012-02-01T06:00:00,Mist,San Francisco,2012-02-01T07:00:00
2012-02-01T09:00:00,Mist,San Francisco,2012-02-01T10:00:00
2012-02-01T12:00:00,Overcast,San Francisco,2012-02-01T13:00:00
2012-02-01T15:00:00,Light drizzle,San Francisco,2012-02-01T16:00:00
2012-02-01T18:00:00,Cloudy,San Francisco,2012-02-01T19:00:00
2012-02-01T21:00:00,Fog,San Francisco,2012-02-01T22:00:00
2012-02-02T00:00:00,Fog,San Francisco,2012-02-02T01:00:00
2012-02-02T03:00:00,Clear,San Francisco,2012-02-02T04:00:00
2012-02-02T06:00:00,Clear,San Francisco,2012-02-02T07:00:00
2012-02-02T09:00:00,Mist,San Francisco,2012-02-02T10:00:00
2012-02-02T12:00:00,Sunny,San Francisco,2012-02-02T13:00:00
2012-02-02T15:00:00,Sunny,San Francisco,2012-02-02T16:00:00
2012-02-02T18:00:00,Clear,San Francisco,2012-02-02T19:00:00
2012-02-02T21:00:00,Clear,San Francisco,2012-02-02T22:00:00
2012-02-03T00:00:00,Clear,San Francisco,2012-02-03T01:00:00
2012-02-03T03:00:00,Clear,San Francisco,2012-02-03T04:00:00
2012-02-03T06:00:00,Clear,San Francisco,2012-02-03T07:00:00
2012-02-03T09:00:00,Sunny,San Francisco,2012-02-03T10:00:00
2012-02-03T12:00:00,Sunny,San Francisco,2012-02-03T13:00:00
2012-02-03T15:00:00,Sunny,San Francisco,2012-02-03T16:00:00
2012-02-03T18:00:00,Clear,San Francisco,2012-02-03T19:00:00
2012-02-03T21:00:00,Clear,San Francisco,2012-02-03T22:00:00
2012-02-04T00:00:00,Clear,San Francisco,2012-02-04T01:00:00
2012-02-04T03:00:00,Clear,San Francisco,2012-02-04T04:00:00
2012-02-04T06:00:00,Clear,San Francisco,2012-02-04T07:00:00
2012-02-04T09:00:00,Sunny,San Francisco,2012-02-04T10:00:00
2012-02-04T12:00:00,Sunny,San Francisco,2012-02-04T13:00:00
2012-02-04T15:00:00,Sunny,San Francisco,2012-02-04T16:00:00
2012-02-04T18:00:00,Clear,San Francisco,2012-02-04T19:00:00
2012-02-04T21:00:00,Clear,San Francisco,2012-02-04T22:00:00
2012-02-05T00:00:00,Clear,San Francisco,2012-02-05T01:00:00
2012-02-05T03:00:00,Clear,San Francisco,2012-02-05T04:00:00
2012-02-05T06:00:00,Clear,San Francisco,2012-02-05T07:00:00
2012-02-05T09:00:00,Sunny,San Francisco,2012-02-05T10:00:00
2012-02-05T12:00:00,Sunny,San Francisco,2012-02-05T13:00:00
2012-02-05T15:00:00,Sunny,San Francisco,2012-02-05T16:00:00
2012-02-05T18:00:00,Clear,San Francisco,2012-02-05T19:00:00
2012-02-05T21:00:00,Clear,San Francisco,2012-02-05T22:00:00
2012-02-06T00:00:00,Partly cloudy,San Francisco,2012-02-06T01:00:00
2012-02-06T03:00:00,Clear,San Francisco,2012-02-06T04:00:00
2012-02-06T06:00:00,Clear,San Francisco,2012-02-06T07:00:00
2012-02-06T09:00:00,Sunny,San Francisco,2012-02-06T10:00:00
2012-02-06T12:00:00,Partly cloudy,San Francisco,2012-02-06T13:00:00
2012-02-06T15:00:00,Partly cloudy,San Francisco,2012-02-06T16:00:00
